id,flow_rate,device_id,timeInstant,humidity,humiditySoil,temperature,commandInfo,totalFlow,created_at
03d4fad8-afc5-11ec-b672-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:02:04,76.00,100.0085.80,24.40,false," 0",1648591324
220a7c84-afc6-11ec-b83a-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:10:04,76.00,100.0086.00,24.30,false," 0",1648591804
403e193a-afc7-11ec-bbd6-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:18:05,76.00,100.0084.80,24.37,false," 0",1648592285
5e69cb74-afc8-11ec-a10b-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:26:05,76.00,100.0085.50,24.30,false," 0",1648592765
7c9113fe-afc9-11ec-8413-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:34:05,76.00,100.0085.60,24.30,false," 0",1648593245
533f31e2-afca-11ec-a1d6-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:40:05,76.00,100.0086.50,24.30,false," 0",1648593605
6c6b0318-aeca-11ec-bd7d-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:08:16,44.00,70.94,32.38,false,751,1648580893
900e467c-aeca-11ec-8d2d-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:09:16,45.00,71.48,32.06,false,751,1648580953
b3dfd43a-aeca-11ec-bcf7-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:10:16,46.20,70.38,31.62,false,751,1648581013
d7af16fa-aeca-11ec-952a-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:11:16,47.25,71.79,31.22,false,751,1648581073
fb69bc6c-aeca-11ec-a56d-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:12:16,48.00,70.70,31.10,false,751,1648581133
1f31164a-aecb-11ec-a42d-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:13:16,48.00,71.28,31.30,false,751,1648581193
43057e30-aecb-11ec-a447-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:14:16,47.00,70.70,31.48,false,751,1648581253
66fa638c-aecb-11ec-b9e6-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:15:16,47.00,71.40,31.34,false,751,1648581313
8acb2a1c-aecb-11ec-bfe2-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:16:16,48.00,69.69,31.20,false,751,1648581373
ae9db66c-aecb-11ec-a894-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:17:16,48.20,69.65,31.06,false,751,1648581433
d28ea4e6-aecb-11ec-aa78-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:18:16,49.00,68.91,31.06,false,751,1648581493
f69c38bc-aecb-11ec-bc98-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:19:17,41.80,68.47,33.94,false,751,1648581553
1a6ae310-aecc-11ec-8e32-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:20:17,34.80,66.01,35.90,false,751,1648581613
3e3623b8-aecc-11ec-a45c-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:21:17,31.40,70.96,37.90,false,751,1648581673
61e36884-aecc-11ec-ba0e-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:22:17,30.00,69.28,38.40,false,751,1648581733
85ab764e-aecc-11ec-a075-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:23:17,29.20,69.91,38.58,false,751,1648581793
a976583c-aecc-11ec-bed9-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:24:17,29.40,69.16,38.58,false,751,1648581853
cd1ab896-aecc-11ec-bbea-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:25:17,28.60,69.84,38.80,false,751,1648581913
f0ed03b4-aecc-11ec-80b4-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:26:17,32.00,67.84,36.98,false,751,1648581973
14c8ff22-aecd-11ec-8593-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:27:17,32.80,69.13,37.02,false,751,1648582033
388d3af4-aecd-11ec-9eb3-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:28:17,31.50,69.52,37.65,false,751,1648582093
5c5e3802-aecd-11ec-8a31-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:29:17,29.40,68.74,38.44,false,751,1648582153
801c8fc8-aecd-11ec-82a3-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:30:17,29.00,70.04,38.50,false,751,1648582213
a40249be-aecd-11ec-88a0-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:31:17,31.50,69.40,37.05,false,751,1648582273
c7cadb72-aecd-11ec-9cf8-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:32:17,33.20,69.99,37.02,false,751,1648582333
eb9adaf2-aecd-11ec-bc64-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:33:17,31.00,70.18,37.62,false,751,1648582393
0f448e76-aece-11ec-93a3-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:34:17,33.67,69.77,36.73,false,751,1648582453
3328683a-aece-11ec-93e6-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:35:18,31.20,70.48,38.20,false,751,1648582513
56e86626-aece-11ec-9c34-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:36:18,29.33,69.91,38.87,false,751,1648582573
7ab573d2-aece-11ec-80d9-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:37:18,29.00,69.96,39.12,false,751,1648582633
9e72093e-aece-11ec-b56e-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:38:18,30.60,69.84,38.00,false,751,1648582693
c22fb2f4-aece-11ec-9c60-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:39:18,30.75,71.65,37.92,false,751,1648582753
e60d1b12-aece-11ec-9978-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:40:18,32.25,68.23,37.35,false,751,1648582813
09cc7f34-aecf-11ec-a450-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:41:18,32.00,66.79,37.65,false,751,1648582873
d32d448c-aebe-11ec-994a-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:45:13,38.67,66.37,34.47,false,751,1648575913
ccc88920-aebf-11ec-88ff-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:52:13,38.67,70.53,34.77,false,751,1648576333
f089c5e0-aebf-11ec-b166-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:53:13,35.50,70.26,35.58,false,751,1648576393
1472b020-aec0-11ec-aa9e-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:54:14,34.00,69.91,36.34,false,751,1648576453
3837a1be-aec0-11ec-b456-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:55:14,34.75,69.06,36.67,false,751,1648576513
5bfeb9e8-aec0-11ec-a12d-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:56:14,33.20,68.99,37.36,false,751,1648576573
7fc50c06-aec0-11ec-b192-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:57:14,32.00,69.16,38.17,false,751,1648576633
a3880c88-aec0-11ec-a859-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:58:14,30.00,69.21,38.43,false,751,1648576693
c74deafc-aec0-11ec-a810-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T14:59:14,29.60,69.57,38.96,false,751,1648576753
eb17f4dc-aec0-11ec-9ce5-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:00:14,29.67,67.81,38.50,false,751,1648576813
0eda67b0-aec1-11ec-84e3-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T15:01:14,29.50,68.35,38.90,false,751,1648576873
27967992-afc5-11ec-a0bb-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:03:04,76.00,100.0085.50,24.40,false," 0",1648591384
45c6414e-afc6-11ec-b932-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:11:05,76.00,100.0085.60,24.40,false," 0",1648591865
6402a836-afc7-11ec-82a3-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:19:05,76.00,100.0085.00,24.30,false," 0",1648592345
8230b810-afc8-11ec-b8bd-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:27:05,76.00,100.0085.50,24.35,false," 0",1648592825
a05905b2-afc9-11ec-abff-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:35:05,76.00,100.0085.00,24.30,false," 0",1648593305
561feeea-af9f-11ec-89e9-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T17:32:22,nan,0.00,25.88,false,12195,1648585938
